workclass,occupation,gender,hours-per-week,marital-status,relationship,race,native-country,age,capital-gain,education,capital-loss,fnlwgt,income
4,7,1,40,4,3,2,39,25,0,1,0,226802,0
4,5,1,50,2,0,4,39,38,0,11,0,89814,0
2,11,1,40,2,0,4,39,28,0,7,0,336951,1
4,7,1,40,2,0,2,39,44,7688,15,0,160323,1
0,0,0,30,4,3,4,39,18,0,15,0,103497,0
4,8,1,30,4,1,4,39,34,0,0,0,198693,0
0,0,1,40,4,4,2,39,29,0,11,0,227026,0
6,10,1,32,2,0,4,39,63,3103,14,0,104626,1
4,8,0,40,4,4,4,39,24,0,15,0,369667,0
4,3,1,10,2,0,4,39,55,0,5,0,104996,0
4,7,1,40,2,0,4,39,65,6418,11,0,184454,1
1,1,1,40,2,0,4,39,36,0,9,0,212465,0
4,1,0,39,4,1,4,39,26,0,11,0,82091,0
0,0,1,35,2,0,4,39,58,0,11,0,299831,0
4,7,1,48,2,0,4,39,48,3103,11,0,279724,1
4,4,1,50,2,0,4,39,43,0,12,0,346189,1
7,8,1,25,4,3,4,39,20,0,15,0,444554,0
4,1,0,30,2,5,4,39,43,0,11,0,128354,0
4,7,0,20,6,4,4,39,37,0,11,0,60548,0
4,10,1,45,2,0,1,0,40,0,10,0,85019,1
4,13,1,47,2,0,4,39,34,0,9,0,107914,1
4,8,0,35,4,3,2,39,34,0,15,0,238588,0
0,0,0,6,0,1,4,39,72,0,5,0,132015,0
4,10,1,43,4,1,4,29,25,0,9,0,220931,0
4,10,1,40,2,0,4,39,25,0,9,0,205947,0
6,3,1,90,2,0,4,39,45,7298,11,0,432824,1
4,1,1,20,4,3,4,39,22,0,11,0,236427,0
4,7,1,54,5,4,2,39,23,0,11,0,134446,0
4,3,1,35,2,0,4,39,54,0,11,0,99516,0
6,10,1,60,4,1,4,39,32,0,15,0,109282,0
7,4,1,38,2,0,2,39,46,7688,15,0,106444,1
6,8,0,50,6,4,4,39,56,0,1,0,186651,0
6,12,1,50,4,1,4,39,24,0,9,0,188274,0
2,11,1,40,2,0,4,39,23,0,15,0,258120,0
4,4,0,40,0,4,4,39,26,0,11,0,43311,0
0,0,1,40,2,0,4,39,65,0,11,0,191846,0
2,10,1,40,2,0,4,39,36,0,9,0,403681,1
4,9,1,50,4,1,4,13,22,0,4,0,248446,0
4,7,1,40,4,1,4,39,17,0,0,0,269430,0
4,3,1,40,4,3,4,39,20,0,11,0,257509,0
4,10,1,50,2,0,4,39,65,0,12,0,136384,1
5,12,1,45,2,0,4,39,44,0,8,0,120277,1
4,5,1,40,2,0,4,39,36,0,11,0,465326,0
4,8,1,40,2,0,4,39,29,0,1,0,103634,0
7,5,1,32,4,3,4,39,20,0,15,0,138371,0
4,10,0,36,2,5,4,39,28,0,8,0,242832,1
4,3,1,40,2,0,4,26,39,0,5,0,290208,0
4,14,1,50,2,0,4,39,54,3908,15,0,186272,0
4,9,0,18,5,1,2,39,52,0,1,0,201062,0
5,4,0,50,6,1,4,39,56,0,11,0,131916,0
4,8,1,20,4,3,4,39,18,0,15,0,54440,0
4,6,1,40,0,3,2,39,39,0,11,0,280215,0
4,8,0,24,4,3,4,39,21,0,15,1721,214399,0
4,8,1,60,4,1,4,39,22,14084,11,0,54164,1
4,4,1,54,3,1,4,26,38,0,6,0,219446,0
4,1,0,40,4,3,4,39,21,0,15,0,110677,0
4,3,1,40,2,0,4,39,63,0,11,0,145985,0
2,4,1,50,2,0,4,39,34,3103,9,0,382078,1
5,4,1,50,2,0,4,39,42,5178,11,0,170721,1
4,6,1,40,2,0,4,39,33,0,11,0,269705,0
4,4,0,50,4,1,4,39,30,0,9,0,101135,0
4,12,1,40,0,1,4,39,39,0,15,0,118429,0
