age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,gender,native-country,income
25,226802,0,0,40,4,1,4,7,3,2,1,39,0
38,89814,0,0,50,4,11,2,5,0,4,1,39,0
28,336951,0,0,40,2,7,2,11,0,4,1,39,1
44,160323,7688,0,40,4,15,2,7,0,2,1,39,1
18,103497,0,0,30,0,15,4,0,3,4,0,39,0
34,198693,0,0,30,4,0,4,8,1,4,1,39,0
29,227026,0,0,40,0,11,4,0,4,2,1,39,0
63,104626,3103,0,32,6,14,2,10,0,4,1,39,1
24,369667,0,0,40,4,15,4,8,4,4,0,39,0
55,104996,0,0,10,4,5,2,3,0,4,1,39,0
65,184454,6418,0,40,4,11,2,7,0,4,1,39,1
36,212465,0,0,40,1,9,2,1,0,4,1,39,0
26,82091,0,0,39,4,11,4,1,1,4,0,39,0
58,299831,0,0,35,0,11,2,0,0,4,1,39,0
48,279724,3103,0,48,4,11,2,7,0,4,1,39,1
43,346189,0,0,50,4,12,2,4,0,4,1,39,1
20,444554,0,0,25,7,15,4,8,3,4,1,39,0
43,128354,0,0,30,4,11,2,1,5,4,0,39,0
37,60548,0,0,20,4,11,6,7,4,4,0,39,0
40,85019,0,0,45,4,10,2,10,0,1,1,0,1
34,107914,0,0,47,4,9,2,13,0,4,1,39,1
34,238588,0,0,35,4,15,4,8,3,2,0,39,0
72,132015,0,0,6,0,5,0,0,1,4,0,39,0
25,220931,0,0,43,4,9,4,10,1,4,1,29,0
25,205947,0,0,40,4,9,2,10,0,4,1,39,0
45,432824,7298,0,90,6,11,2,3,0,4,1,39,1
22,236427,0,0,20,4,11,4,1,3,4,1,39,0
23,134446,0,0,54,4,11,5,7,4,2,1,39,0
54,99516,0,0,35,4,11,2,3,0,4,1,39,0
32,109282,0,0,60,6,15,4,10,1,4,1,39,0
46,106444,7688,0,38,7,15,2,4,0,2,1,39,1
56,186651,0,0,50,6,1,6,8,4,4,0,39,0
24,188274,0,0,50,6,9,4,12,1,4,1,39,0
23,258120,0,0,40,2,15,2,11,0,4,1,39,0
26,43311,0,0,40,4,11,0,4,4,4,0,39,0
65,191846,0,0,40,0,11,2,0,0,4,1,39,0
36,403681,0,0,40,2,9,2,10,0,4,1,39,1
22,248446,0,0,50,4,4,4,9,1,4,1,13,0
17,269430,0,0,40,4,0,4,7,1,4,1,39,0
20,257509,0,0,40,4,11,4,3,3,4,1,39,0
65,136384,0,0,50,4,12,2,10,0,4,1,39,1
44,120277,0,0,45,5,8,2,12,0,4,1,39,1
36,465326,0,0,40,4,11,2,5,0,4,1,39,0
29,103634,0,0,40,4,1,2,8,0,4,1,39,0
20,138371,0,0,32,7,15,4,5,3,4,1,39,0
28,242832,0,0,36,4,8,2,10,5,4,0,39,1
39,290208,0,0,40,4,5,2,3,0,4,1,26,0
54,186272,3908,0,50,4,15,2,14,0,4,1,39,0
52,201062,0,0,18,4,1,5,9,1,2,0,39,0
56,131916,0,0,50,5,11,6,4,1,4,0,39,0
18,54440,0,0,20,4,15,4,8,3,4,1,39,0
39,280215,0,0,40,4,11,0,6,3,2,1,39,0
21,214399,0,1721,24,4,15,4,8,3,4,0,39,0
22,54164,14084,0,60,4,11,4,8,1,4,1,39,1
38,219446,0,0,54,4,6,3,4,1,4,1,26,0
21,110677,0,0,40,4,15,4,1,3,4,0,39,0
63,145985,0,0,40,4,11,2,3,0,4,1,39,0
34,382078,3103,0,50,2,9,2,4,0,4,1,39,1
42,170721,5178,0,50,5,11,2,4,0,4,1,39,1
33,269705,0,0,40,4,11,2,6,0,4,1,39,0
30,101135,0,0,50,4,9,4,4,1,4,0,39,0
39,118429,0,0,40,4,15,0,12,1,4,1,39,0
26,31208,0,0,40,4,12,4,4,1,4,0,39,0
33,281384,0,0,40,4,11,4,7,3,4,0,39,0
47,171807,0,0,40,2,11,0,1,1,4,0,39,0
41,109912,0,0,40,4,9,4,8,1,4,0,0,0
41,445382,15024,0,60,5,7,2,3,0,4,1,39,1
19,105460,0,0,20,4,15,4,8,3,4,1,39,0
46,170338,0,0,40,4,11,5,14,1,4,1,39,0
43,102606,0,0,48,4,11,2,12,0,4,1,39,0
55,323887,15024,0,45,4,15,2,4,0,4,1,39,1
46,175622,0,0,40,4,8,2,13,0,4,1,39,0
30,229636,0,0,40,4,11,2,7,0,4,1,26,0
21,388946,0,0,40,4,15,5,6,1,4,0,39,0
46,269034,0,0,40,4,15,2,3,0,3,1,6,0
17,165361,0,0,40,0,0,4,0,3,4,1,39,0
41,75012,0,0,50,4,11,2,7,0,4,1,39,0
69,174379,0,0,30,5,11,2,12,0,4,1,39,0
50,312477,0,0,40,4,11,2,14,0,4,1,39,0
